id,name,subcategories,parent,leaf_flag,parents,number_parents,subcategory_names,parent_names,target_category,human_category
115,Trainers,[],113,Yes,"[113.0, 101.0, 1.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
116,Sneakers,[],113,Yes,"[113.0, 101.0, 1.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
117,Hiking,[],101,Yes,"[101.0, 1.0, 0.0]",2,[],"['Shoes', 'Women', 'Main']","Main,Shoes,Sneakers & Athletic",Women
118,Handbags,"[119, 120, 121, 122, 123, 124, 125, 126, 127]",1,No,"[1.0, 0.0]",1,"['Backpacks', 'Clutches', 'Crossbody Bags', 'Evening Handbags', 'Hobo Bags', 'Satchels', 'Shoulder Bags', 'Tote Bags', 'Wallets & Card Cases']","['Women', 'Main']","Main,Bags,Handbags",Women
119,Backpacks,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Backpacks",Women
120,Clutches,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Handbags",Women
121,Crossbody Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
122,Evening Handbags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Handbags",Women
123,Hobo Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
124,Satchels,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags",Women
125,Shoulder Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Shoulder Bags",Women
126,Tote Bags,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Bags,Totes",Women
127,Wallets & Card Cases,[],118,Yes,"[118.0, 1.0, 0.0]",2,[],"['Handbags', 'Women', 'Main']","Main,Accessories,Wallets",Women
128,Accessories,"[129, 130, 131, 132, 133, 134, 135, 136, 139, 148]",1,No,"[1.0, 0.0]",1,"['Belts', 'Gloves & Mittens', 'Hair Accessories', 'Hats', 'Headphones', 'Phone Cases', 'Scarves & Wraps', 'Sunglasses & Eyewear', 'Watches & Jewelry', 'Umbrella']","['Women', 'Main']","Main,Accessories",Women
129,Belts,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Belts",Women
130,Gloves & Mittens,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Gloves",Women
131,Hair Accessories,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Hair Accessories",Women
132,Hats,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Hats",Women
133,Headphones,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Electronics",Women
134,Phone Cases,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Phone Cases",Women
135,Scarves & Wraps,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Scarves",Women
136,Sunglasses & Eyewear,"[137, 138]",128,No,"[128.0, 1.0, 0.0]",2,"['Eyeglasses', 'Sunglasses']","['Accessories', 'Women', 'Main']","Main,Accessories,Eyewear",Women
137,Eyeglasses,[],136,Yes,"[136.0, 128.0, 1.0, 0.0]",3,[],"['Sunglasses & Eyewear', 'Accessories', 'Women', 'Main']","Main,Accessories,Eyewear,Eyeglasses",Women
138,Sunglasses,[],136,Yes,"[136.0, 128.0, 1.0, 0.0]",3,[],"['Sunglasses & Eyewear', 'Accessories', 'Women', 'Main']","Main,Accessories,Eyewear,Sunglasses",Women
139,Watches & Jewelry,"[140, 141, 142, 143, 144, 145, 146, 147]",128,No,"[128.0, 1.0, 0.0]",2,"['Fine Jewelry', 'Bracelets', 'Charms', 'Earrings', 'Necklaces', 'Pins', 'Rings', 'Watches']","['Accessories', 'Women', 'Main']","Main,Accessories,Jewelry",Women
140,Fine Jewelry,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry",Women
141,Bracelets,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry,Bracelets",Women
142,Charms,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry",Women
143,Earrings,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry,Earrings",Women
144,Necklaces,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry,Necklaces",Women
145,Pins,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry",Women
146,Rings,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry,Rings",Women
147,Watches,[],139,Yes,"[139.0, 128.0, 1.0, 0.0]",3,[],"['Watches & Jewelry', 'Accessories', 'Women', 'Main']","Main,Accessories,Jewelry,Watches",Women
148,Umbrella,[],128,Yes,"[128.0, 1.0, 0.0]",2,[],"['Accessories', 'Women', 'Main']","Main,Accessories,Umbrellas",Women
149,Men,"[150, 203, 217, 223]",0,No,[0.0],0,"['Clothing', 'Shoes', 'Bags', 'Accessories']",['Main'],,Men
150,Clothing,"[151, 152, 161, 169, 175, 182, 183, 187, 188, 196, 197, 198]",149,No,"[149.0, 0.0]",1,"['Blazers & Sport Coats', 'Coats & Jackets', 'Jeans', 'Pants', 'Shirts', 'Shorts', 'Sleepwear', 'Suits', 'Sweaters', 'Sweatshirts & Hoodies', 'Swimwear', 'Underwear & Socks']","['Men', 'Main']","Main,Clothing",Men
151,Blazers & Sport Coats,[],150,Yes,"[150.0, 149.0, 0.0]",2,[],"['Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
152,Coats & Jackets,"[153, 154, 155, 156, 157, 158, 159, 160]",150,No,"[150.0, 149.0, 0.0]",2,"['Denim Jackets', 'Coats', 'Jackets', 'Activewear', 'Leather Jackets', 'Overcoats', 'Raincoats & Trench Coats', 'Wool Coats']","['Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
153,Denim Jackets,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
154,Coats,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
155,Jackets,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
156,Activewear,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
157,Leather Jackets,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
158,Overcoats,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
159,Raincoats & Trench Coats,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
160,Wool Coats,[],152,Yes,"[152.0, 150.0, 149.0, 0.0]",3,[],"['Coats & Jackets', 'Clothing', 'Men', 'Main']","Main,Clothing,Coats & Jackets",Men
161,Jeans,"[162, 163, 164, 165, 166, 167, 168]",150,No,"[150.0, 149.0, 0.0]",2,"['Bootcut Jeans', 'Distressed Jeans', 'Loose Jeans', 'Low Rise Jeans', 'Relaxed Jeans', 'Slim Jeans', 'Straight Leg Jeans']","['Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
162,Bootcut Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
163,Distressed Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
164,Loose Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
165,Low Rise Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
166,Relaxed Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
167,Slim Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
168,Straight Leg Jeans,[],161,Yes,"[161.0, 150.0, 149.0, 0.0]",3,[],"['Jeans', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Jeans",Men
169,Pants,"[170, 171, 172, 173, 174]",150,No,"[150.0, 149.0, 0.0]",2,"['Cargo Pants', 'Casual Pants', 'Chinos & Khakis', 'Activewear', 'Dress Pants']","['Clothing', 'Men', 'Main']","Main,Clothing,Pants",Men
170,Cargo Pants,[],169,Yes,"[169.0, 150.0, 149.0, 0.0]",3,[],"['Pants', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants",Men
171,Casual Pants,[],169,Yes,"[169.0, 150.0, 149.0, 0.0]",3,[],"['Pants', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants",Men
172,Chinos & Khakis,[],169,Yes,"[169.0, 150.0, 149.0, 0.0]",3,[],"['Pants', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants",Men
173,Activewear,[],169,Yes,"[169.0, 150.0, 149.0, 0.0]",3,[],"['Pants', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants,Activewear",Men
174,Dress Pants,[],169,Yes,"[169.0, 150.0, 149.0, 0.0]",3,[],"['Pants', 'Clothing', 'Men', 'Main']","Main,Clothing,Pants",Men
175,Shirts,"[176, 177, 178, 179, 180, 181]",150,No,"[150.0, 149.0, 0.0]",2,"['Dress Shirts', 'Longsleeve Shirts', 'Shortsleeve Shirts', 'Polo Shirts', 'Activewear', 'T-Shirts & Tank Tops']","['Clothing', 'Men', 'Main']","Main,Clothing,Tops",Men
176,Dress Shirts,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops",Men
177,Longsleeve Shirts,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops,Longsleeves",Men
178,Shortsleeve Shirts,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops,Shortsleeves",Men
179,Polo Shirts,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops,Shortsleeves",Men
180,Activewear,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops,Activewear",Men
181,T-Shirts & Tank Tops,[],175,Yes,"[175.0, 150.0, 149.0, 0.0]",3,[],"['Shirts', 'Clothing', 'Men', 'Main']","Main,Clothing,Tops,Tees",Men
182,Shorts,[],150,Yes,"[150.0, 149.0, 0.0]",2,[],"['Clothing', 'Men', 'Main']","Main,Clothing,Shorts",Men
183,Sleepwear,"[184, 185, 186]",150,No,"[150.0, 149.0, 0.0]",2,"['Pajamas', 'Robes', 'Slippers']","['Clothing', 'Men', 'Main']","Main,Clothing,Sleepwear",Men
184,Pajamas,[],183,Yes,"[183.0, 150.0, 149.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Men', 'Main']","Main,Clothing,Sleepwear",Men
185,Robes,[],183,Yes,"[183.0, 150.0, 149.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Men', 'Main']","Main,Clothing,Sleepwear",Men
186,Slippers,[],183,Yes,"[183.0, 150.0, 149.0, 0.0]",3,[],"['Sleepwear', 'Clothing', 'Men', 'Main']","Main,Shoes,Slippers",Men
187,Suits,[],150,Yes,"[150.0, 149.0, 0.0]",2,[],"['Clothing', 'Men', 'Main']","Main,Clothing,Suits",Men
188,Sweaters,"[189, 190, 191, 192, 193, 194, 195]",150,No,"[150.0, 149.0, 0.0]",2,"['Cardigans & Zip Ups', 'Cashmere Sweaters', 'Crewneck Sweaters', 'Half-zip Sweaters', 'Turtleneck Sweaters', 'V-neck Sweaters', 'Vests']","['Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
189,Cardigans & Zip Ups,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters,Cardigans",Men
190,Cashmere Sweaters,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
191,Crewneck Sweaters,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
192,Half-zip Sweaters,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
193,Turtleneck Sweaters,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
194,V-neck Sweaters,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters",Men
195,Vests,[],188,Yes,"[188.0, 150.0, 149.0, 0.0]",3,[],"['Sweaters', 'Clothing', 'Men', 'Main']","Main,Clothing,Sweaters,Vests",Men
196,Sweatshirts & Hoodies,[],150,Yes,"[150.0, 149.0, 0.0]",2,[],"['Clothing', 'Men', 'Main']","Main,Clothing,Hoodies & Sweatshirts",Men
197,Swimwear,[],150,Yes,"[150.0, 149.0, 0.0]",2,[],"['Clothing', 'Men', 'Main']","Main,Clothing,Swimwear",Men
198,Underwear & Socks,"[199, 200, 201, 202]",150,No,"[150.0, 149.0, 0.0]",2,"['Briefs', 'Boxers', 'Socks', 'Undershirts']","['Clothing', 'Men', 'Main']","Main,Clothing,Underwear & Socks",Men
199,Briefs,[],198,Yes,"[198.0, 150.0, 149.0, 0.0]",3,[],"['Underwear & Socks', 'Clothing', 'Men', 'Main']","Main,Clothing,Underwear & Socks",Men
200,Boxers,[],198,Yes,"[198.0, 150.0, 149.0, 0.0]",3,[],"['Underwear & Socks', 'Clothing', 'Men', 'Main']","Main,Clothing,Underwear & Socks",Men
201,Socks,[],198,Yes,"[198.0, 150.0, 149.0, 0.0]",3,[],"['Underwear & Socks', 'Clothing', 'Men', 'Main']","Main,Clothing,Underwear & Socks",Men
202,Undershirts,[],198,Yes,"[198.0, 150.0, 149.0, 0.0]",3,[],"['Underwear & Socks', 'Clothing', 'Men', 'Main']","Main,Clothing,Underwear & Socks",Men
203,Shoes,"[204, 205, 206, 207, 208, 209, 210]",149,No,"[149.0, 0.0]",1,"['Boots', 'Sandals', 'Dress Shoes', 'Loafers & Slip-ons', 'Casual Shoes', 'Hiking', 'Sneakers & Athletic']","['Men', 'Main']","Main,Shoes",Men
204,Boots,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes,Boots",Men
205,Sandals,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes,Sandals",Men
206,Dress Shoes,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes",Men
207,Loafers & Slip-ons,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes,Loafers & Slip-ons",Men
208,Casual Shoes,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes",Men
209,Hiking,[],203,Yes,"[203.0, 149.0, 0.0]",2,[],"['Shoes', 'Men', 'Main']","Main,Shoes",Men
210,Sneakers & Athletic,"[211, 212, 213, 214, 215, 216]",203,No,"[203.0, 149.0, 0.0]",2,"['Basketball', 'Running', 'Trainers', 'Skate', 'Sneakers', 'Soccer']","['Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
211,Basketball,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
212,Running,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
213,Trainers,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
214,Skate,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
215,Sneakers,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
216,Soccer,[],210,Yes,"[210.0, 203.0, 149.0, 0.0]",3,[],"['Sneakers & Athletic', 'Shoes', 'Men', 'Main']","Main,Shoes,Sneakers & Athletic",Men
217,Bags,"[218, 219, 220, 221, 222]",149,No,"[149.0, 0.0]",1,"['Shoulder bags', 'Totes', 'Business Bags', 'Backpacks', 'Gym and Sports Bags']","['Men', 'Main']","Main,Bags",Men
218,Shoulder bags,[],217,Yes,"[217.0, 149.0, 0.0]",2,[],"['Bags', 'Men', 'Main']","Main,Bags,Shoulder Bags",Men
219,Totes,[],217,Yes,"[217.0, 149.0, 0.0]",2,[],"['Bags', 'Men', 'Main']","Main,Bags,Totes",Men
220,Business Bags,[],217,Yes,"[217.0, 149.0, 0.0]",2,[],"['Bags', 'Men', 'Main']","Main,Bags",Men
221,Backpacks,[],217,Yes,"[217.0, 149.0, 0.0]",2,[],"['Bags', 'Men', 'Main']","Main,Bags,Backpacks",Men
222,Gym and Sports Bags,[],217,Yes,"[217.0, 149.0, 0.0]",2,[],"['Bags', 'Men', 'Main']","Main,Bags,Gym & Sports Bags",Men
223,Accessories,"[224, 225, 226, 229, 230, 231, 232, 233, 235, 236, 237, 238, 239]",149,No,"[149.0, 0.0]",1,"['Belts', 'Cuff Links', 'Sunglasses & Eyewear', 'Gloves & Mittens', 'Scarves', 'Hats', 'Ties', 'Jewelry', 'Headphones', 'Phone Cases', 'Umbrellas', 'Wallets & Card Cases', 'Watches']","['Men', 'Main']","Main,Accessories",Men
224,Belts,[],223,Yes,"[223.0, 149.0, 0.0]",2,[],"['Accessories', 'Men', 'Main']","Main,Accessories,Belts",Men
225,Cuff Links,[],223,Yes,"[223.0, 149.0, 0.0]",2,[],"['Accessories', 'Men', 'Main']","Main,Accessories,Jewelry",Men
226,Sunglasses & Eyewear,"[227, 228]",223,No,"[223.0, 149.0, 0.0]",2,"['Eyeglasses', 'Sunglasses']","['Accessories', 'Men', 'Main']","Main,Accessories,Eyewear",Men
227,Eyeglasses,[],226,Yes,"[226.0, 223.0, 149.0, 0.0]",3,[],"['Sunglasses & Eyewear', 'Accessories', 'Men', 'Main']","Main,Accessories,Eyewear,Eyeglasses",Men
228,Sunglasses,[],226,Yes,"[226.0, 223.0, 149.0, 0.0]",3,[],"['Sunglasses & Eyewear', 'Accessories', 'Men', 'Main']","Main,Accessories,Eyewear,Sunglasses",Men
229,Gloves & Mittens,[],223,Yes,"[223.0, 149.0, 0.0]",2,[],"['Accessories', 'Men', 'Main']","Main,Accessories,Gloves",Men
